Product Card Id,Original Product Name,Original Category Name,Original Department Name,FMCG Category,FMCG Sub-Category,FMCG Product Name
306,Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,Outdoors,Household & Home Care,Paper & Disposables,HomeGuard 3-Ply Toilet Paper 24 Rolls
311,Polar Loop Activity Tracker,Kids' Golf Clubs,Outdoors,Household & Home Care,Paper & Disposables,HomeGuard Ultra Absorbent Paper Towels 6 Rolls
646,Merrell Women's Grassbow Sport Hiking Shoe,Men's Golf Clubs,Outdoors,Household & Home Care,Paper & Disposables,HomeGuard 2-Ply Paper Towels 6 Rolls
647,Merrell Women's Siren Mid Waterproof Hiking B,Men's Golf Clubs,Outdoors,Household & Home Care,Paper & Disposables,HomeGuard 2-Ply Paper Towels 12 Rolls
652,Merrell Women's Grassbow Sport Waterproof Hik,Men's Golf Clubs,Outdoors,Household & Home Care,Paper & Disposables,HomeGuard Soft Touch Facial Tissues 6-pack
666,Merrell Men's All Out Flash Trail Running Sho,Men's Golf Clubs,Outdoors,Household & Home Care,Paper & Disposables,HomeGuard Heavy Duty Trash Bags 30ct
671,Cleveland Golf Collegiate My Custom Wedge 588,Women's Golf Clubs,Outdoors,Household & Home Care,Paper & Disposables,HomeGuard Standard Aluminum Foil 30m Roll
677,TaylorMade White Smoke IN-12 Putter,Women's Golf Clubs,Outdoors,Household & Home Care,Paper & Disposables,HomeGuard Drawstring Trash Bags 13 Gallon
691,MDGolf Pittsburgh Penguins Putter,Women's Golf Clubs,Outdoors,Household & Home Care,Paper & Disposables,HomeGuard Soft & Strong Toilet Paper 24 Rolls
845,Garmin Approach S4 Golf GPS Watch,Kids' Golf Clubs,Outdoors,Household & Home Care,Paper & Disposables,HomeGuard Soft & Strong Toilet Paper 12 Rolls
858,GolfBuddy VT3 GPS Watch,Kids' Golf Clubs,Outdoors,Household & Home Care,Paper & Disposables,HomeGuard Drawstring Trash Bags 30ct
860,Bushnell Pro X7 Jolt Slope Rangefinder,Kids' Golf Clubs,Outdoors,Household & Home Care,Paper & Disposables,HomeGuard Soft Touch Facial Tissues 3-pack
703,Top Flite Women's 2014 XL Hybrid,Golf Apparel,Outdoors,Household & Home Care,Surface & Dish Care,ShineRight All-in-1 Dishwasher Tablets 50ct
705,Cleveland Golf Women's 588 RTX CB Satin Chrom,Golf Apparel,Outdoors,Household & Home Care,Surface & Dish Care,ShineRight Original Glass Cleaner Spray 750ml
715,TaylorMade Women's RBZ SL Rescue,Golf Apparel,Outdoors,Household & Home Care,Surface & Dish Care,ShineRight Original Kitchen Degreaser 500ml
724,LIJA Women's Mid-Length Panel Golf Shorts,Golf Shoes,Outdoors,Household & Home Care,Surface & Dish Care,ShineRight Citrus Multi-Surface Spray 500ml
725,LIJA Women's Button Golf Dress,Golf Shoes,Outdoors,Household & Home Care,Surface & Dish Care,ShineRight Streak-Free Glass Cleaner Spray 750ml
728,LIJA Women's Eyelet Sleeveless Golf Polo,Golf Shoes,Outdoors,Household & Home Care,Surface & Dish Care,ShineRight Original Dish Soap 500ml
730,LIJA Women's Argyle Golf Polo,Golf Shoes,Outdoors,Household & Home Care,Surface & Dish Care,ShineRight All-in-1 Dishwasher Tablets 30ct
743,Ogio Race Golf Shoes,Golf Bags & Carts,Outdoors,Household & Home Care,Surface & Dish Care,ShineRight Apple Blossom Dish Soap 1L
768,Titleist Club Glove Travel Cover,Golf Gloves,Outdoors,Household & Home Care,Surface & Dish Care,ShineRight Pine Multi-Surface Spray 750ml
771,Clicgear Rovic Cooler Bag,Golf Gloves,Outdoors,Household & Home Care,Surface & Dish Care,ShineRight Apple Blossom Dish Soap 500ml
773,Titleist Small Wheeled Travel Cover,Golf Gloves,Outdoors,Household & Home Care,Surface & Dish Care,ShineRight Pine Multi-Surface Spray 500ml
775,Clicgear 8.0 Shoe Brush,Golf Gloves,Outdoors,Household & Home Care,Surface & Dish Care,ShineRight Lemon Fresh Multi-Surface Spray 500ml
777,Bag Boy M330 Push Cart,Golf Gloves,Outdoors,Household & Home Care,Surface & Dish Care,ShineRight Streak-Free Glass Cleaner Spray 500ml
778,Bag Boy Beverage Holder,Golf Gloves,Outdoors,Household & Home Care,Surface & Dish Care,ShineRight Lemon Dish Soap 1L
786,TaylorMade 2014 Purelite Stand Bag,Golf Gloves,Outdoors,Household & Home Care,Surface & Dish Care,ShineRight Lemon Fresh Multi-Surface Spray 750ml
364,Total Gym 1400,Cleats,Apparel,Packaged Foods,Pantry Staples,NorthStar Pantry Kidney Beans Canned Beans 400g
365,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,Packaged Foods,Pantry Staples,NorthStar Pantry Sunflower Cooking Oil 1L
403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Apparel,Packaged Foods,Pantry Staples,NorthStar Pantry Corn Flakes Breakfast Cereal 500g
1347,Baby sweater,Baby ,Apparel,Packaged Foods,Pantry Staples,NorthStar Pantry Chicken Instant Noodles 5-pack
1350,Children's heaters,Children's Clothing,Apparel,Packaged Foods,Pantry Staples,NorthStar Pantry Crunchy Peanut Butter 400g
1353,Porcelain crafts,Crafts,Apparel,Packaged Foods,Pantry Staples,NorthStar Pantry Smooth Peanut Butter 400g
1357,Men's gala suit,Men's Clothing,Apparel,Packaged Foods,Pantry Staples,NorthStar Pantry Long Grain White Rice 1kg
1363,Summer dresses,Women's Clothing,Apparel,Packaged Foods,Pantry Staples,NorthStar Pantry Black Beans Canned Beans 400g
172,Nike Women's Tempo Shorts,Cardio Equipment,Footwear,Personal Care,Bath & Body,SoftTouch Repair Conditioner 400ml
191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,Personal Care,Bath & Body,SoftTouch Oatmeal Bar Soap 3-pack
203,GoPro HERO3+ Black Edition Camera,Strength Training,Footwear,Personal Care,Bath & Body,SoftTouch Volume Shampoo 400ml
208,SOLE E35 Elliptical,Strength Training,Footwear,Personal Care,Bath & Body,SoftTouch SPF 50 Sunscreen Lotion 200ml
216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Strength Training,Footwear,Personal Care,Bath & Body,SoftTouch Strong Hold Hair Gel 200ml
226,Bowflex SelectTech 1090 Dumbbells,Fitness Accessories,Footwear,Personal Care,Bath & Body,SoftTouch Repair Shampoo 400ml
235,Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,Footwear,Personal Care,Bath & Body,SoftTouch Cocoa Butter Body Lotion 400ml
249,Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,Footwear,Personal Care,Bath & Body,SoftTouch Shea Butter Body Wash 750ml
251,Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,Footwear,Personal Care,Bath & Body,SoftTouch Moisture Conditioner 400ml
258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & MMA,Footwear,Personal Care,Bath & Body,SoftTouch Lavender Bar Soap 4-pack
273,Under Armour Kids' Mercenary Slide,Electronics,Footwear,Personal Care,Bath & Body,SoftTouch Oatmeal Bar Soap 4-pack
276,Under Armour Women's Ignite Slide,Electronics,Footwear,Personal Care,Bath & Body,SoftTouch Fresh Deodorant Stick 1ct
278,Under Armour Men's Compression EV SL Slide,Electronics,Footwear,Personal Care,Bath & Body,SoftTouch Gentle Daily Facial Cleanser 150ml
282,Under Armour Women's Ignite PIP VI Slide,Electronics,Footwear,Personal Care,Bath & Body,SoftTouch Fresh Mint Toothpaste 100ml
359,Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,Footwear,Personal Care,Bath & Body,SoftTouch Ocean Breeze Body Wash 500ml
1359,Adult dog supplies,Pet Supplies,Pet Shop,Pet Care,Pet Food,PawPrime Chicken & Rice Dry Dog Food 5kg
957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Fan Shop,Snacks & Confectionery,Salty Snacks,CrispCo Sea Salt Potato Chips 300g
977,ENO Atlas Hammock Straps,Hunting & Shooting,Fan Shop,Snacks & Confectionery,Salty Snacks,CrispCo Dark Chocolate Bar 100g
981,The North Face Women's Recon Backpack,Hunting & Shooting,Fan Shop,Snacks & Confectionery,Salty Snacks,CrispCo Mixed Berry Granola Bar 6-pack
982,insta-bed Neverflat Air Mattress,Hunting & Shooting,Fan Shop,Snacks & Confectionery,Salty Snacks,CrispCo Caramel Popcorn 100g
1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,Snacks & Confectionery,Salty Snacks,CrispCo Whole Wheat Crackers 200g
1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,Snacks & Confectionery,Salty Snacks,CrispCo Butter Popcorn 100g
1059,Pelican Maverick 100X Kayak,Water Sports,Fan Shop,Snacks & Confectionery,Salty Snacks,CrispCo Sea Salt Potato Chips 150g
1073,Pelican Sunstream 100 Kayak,Water Sports,Fan Shop,Snacks & Confectionery,Salty Snacks,CrispCo Chocolate Chip Cookies 300g
1361,Toys ,Toys,Fan Shop,Snacks & Confectionery,Salty Snacks,CrispCo Nut & Fruit Trail Mix 250g
