FMCG Category,Order Region,Budget Month,Budgeted Sales,Budgeted Cost
Snacks & Confectionery,South Asia,2016-07-01,13275.82,9956.87
Snacks & Confectionery,South Asia,2016-08-01,13429.74,10072.31
Snacks & Confectionery,South Asia,2016-09-01,14475.46,10856.59
Snacks & Confectionery,South Asia,2016-10-01,14161.9,10621.42
Snacks & Confectionery,South Asia,2016-11-01,14453.03,10839.78
Snacks & Confectionery,South Asia,2016-12-01,14892.43,11169.32
Snacks & Confectionery,South Asia,2017-01-01,15152.12,11364.09
Snacks & Confectionery,South Asia,2017-02-01,14031.6,10523.7
Snacks & Confectionery,South Asia,2017-03-01,14486.59,10864.94
Snacks & Confectionery,South Asia,2017-04-01,14991.42,11243.57
Snacks & Confectionery,South Asia,2017-05-01,14355.4,10766.55
Snacks & Confectionery,South Asia,2017-06-01,15653.95,11740.47
Snacks & Confectionery,South Asia,2017-07-01,15618.51,11713.88
Snacks & Confectionery,South Asia,2017-08-01,15446.55,11584.91
Snacks & Confectionery,South Asia,2017-09-01,14777.44,11083.08
Snacks & Confectionery,South Asia,2017-10-01,15434.23,11575.67
Snacks & Confectionery,South Asia,2017-11-01,14170.35,10627.76
Snacks & Confectionery,South Asia,2017-12-01,14486.38,10864.78
Snacks & Confectionery,South Asia,2018-01-01,15498.88,11624.16
Snacks & Confectionery,Oceania,2015-01-01,18164.96,13623.72
Snacks & Confectionery,Oceania,2015-02-01,17622.63,13216.97
Snacks & Confectionery,Oceania,2015-03-01,16883.44,12662.58
Snacks & Confectionery,Oceania,2015-04-01,17321.21,12990.91
Snacks & Confectionery,Oceania,2015-05-01,17280.73,12960.55
Snacks & Confectionery,Oceania,2015-06-01,17229.88,12922.41
Snacks & Confectionery,Oceania,2015-07-01,16944.08,12708.06
Snacks & Confectionery,Oceania,2015-08-01,17472.39,13104.29
Snacks & Confectionery,Oceania,2015-09-01,17542.76,13157.07
Snacks & Confectionery,Oceania,2015-10-01,18234.98,13676.24
Snacks & Confectionery,Oceania,2015-11-01,18280.5,13710.38
Snacks & Confectionery,Oceania,2015-12-01,17700.08,13275.06
Snacks & Confectionery,Oceania,2016-01-01,18447.72,13835.79
Snacks & Confectionery,Oceania,2016-02-01,19154.1,14365.57
Snacks & Confectionery,Oceania,2016-03-01,19396.71,14547.53
Snacks & Confectionery,Oceania,2016-04-01,18924.35,14193.26
Snacks & Confectionery,Oceania,2016-05-01,19203.62,14402.72
Snacks & Confectionery,Oceania,2016-06-01,19511.97,14633.98
Snacks & Confectionery,Oceania,2016-07-01,17513.6,13135.2
Snacks & Confectionery,Oceania,2016-08-01,19370.87,14528.15
Snacks & Confectionery,Oceania,2016-09-01,18038.31,13528.73
Snacks & Confectionery,Oceania,2016-10-01,18481.38,13861.04
Snacks & Confectionery,Oceania,2016-11-01,19195.35,14396.51
Snacks & Confectionery,Oceania,2016-12-01,19018.48,14263.86
Snacks & Confectionery,Oceania,2017-01-01,18637.98,13978.49
Snacks & Confectionery,Oceania,2017-02-01,19832.8,14874.6
Snacks & Confectionery,Oceania,2017-03-01,18456.06,13842.05
Snacks & Confectionery,Oceania,2017-04-01,19128.25,14346.19
Snacks & Confectionery,Oceania,2017-05-01,20192.65,15144.49
Snacks & Confectionery,Oceania,2017-06-01,19293.21,14469.91
Snacks & Confectionery,Oceania,2017-07-01,19695.26,14771.44
Snacks & Confectionery,Oceania,2017-08-01,19994.91,14996.18
Snacks & Confectionery,Oceania,2017-09-01,20212.26,15159.2
Snacks & Confectionery,Oceania,2017-10-01,20070.47,15052.85
Snacks & Confectionery,Oceania,2017-11-01,18311.01,13733.26
Snacks & Confectionery,Oceania,2017-12-01,19275.82,14456.86
Snacks & Confectionery,Oceania,2018-01-01,20344.76,15258.57
Snacks & Confectionery,Eastern Asia,2015-01-01,11988.23,8991.17
Snacks & Confectionery,Eastern Asia,2015-02-01,12726.69,9545.02
Snacks & Confectionery,Eastern Asia,2015-03-01,12827.48,9620.61
Snacks & Confectionery,Eastern Asia,2015-04-01,13162.84,9872.13
Snacks & Confectionery,Eastern Asia,2015-05-01,13335.1,10001.33
Snacks & Confectionery,Eastern Asia,2015-06-01,12098.63,9073.97
Snacks & Confectionery,Eastern Asia,2015-07-01,12254.06,9190.54
Snacks & Confectionery,Eastern Asia,2015-08-01,12905.57,9679.18
Snacks & Confectionery,Eastern Asia,2015-09-01,12105.2,9078.9
Snacks & Confectionery,Eastern Asia,2015-10-01,12244.41,9183.31
Snacks & Confectionery,Eastern Asia,2015-11-01,12777.47,9583.11
Snacks & Confectionery,Eastern Asia,2015-12-01,12161.5,9121.13
Snacks & Confectionery,Eastern Asia,2016-01-01,13747.23,10310.42
Snacks & Confectionery,Eastern Asia,2016-02-01,13866.5,10399.87
Snacks & Confectionery,Eastern Asia,2016-03-01,12552.81,9414.61
Snacks & Confectionery,Eastern Asia,2016-04-01,13348.98,10011.74
Snacks & Confectionery,Eastern Asia,2016-05-01,13770.72,10328.04
Snacks & Confectionery,Eastern Asia,2016-06-01,14055.04,10541.28
Snacks & Confectionery,Eastern Asia,2016-07-01,12936.7,9702.52
Snacks & Confectionery,Eastern Asia,2016-08-01,12768.9,9576.68
Snacks & Confectionery,Eastern Asia,2016-09-01,13897.97,10423.48
Snacks & Confectionery,Eastern Asia,2016-10-01,13949.8,10462.35
Snacks & Confectionery,Eastern Asia,2016-11-01,12814.27,9610.7
Snacks & Confectionery,Eastern Asia,2016-12-01,13203.6,9902.7
Snacks & Confectionery,Eastern Asia,2017-01-01,14329.04,10746.78
Snacks & Confectionery,Eastern Asia,2017-02-01,14540.33,10905.25
Snacks & Confectionery,Eastern Asia,2017-03-01,13405.97,10054.47
Snacks & Confectionery,Eastern Asia,2017-04-01,14238.13,10678.6
Snacks & Confectionery,Eastern Asia,2017-05-01,14477.49,10858.12
Snacks & Confectionery,Eastern Asia,2017-06-01,14045.03,10533.77
Snacks & Confectionery,Eastern Asia,2017-07-01,13400.0,10050.0
Snacks & Confectionery,Eastern Asia,2017-08-01,13183.56,9887.67
Snacks & Confectionery,Eastern Asia,2017-09-01,13595.72,10196.79
Snacks & Confectionery,Eastern Asia,2017-10-01,14477.55,10858.16
Snacks & Confectionery,Eastern Asia,2017-11-01,13199.04,9899.28
Snacks & Confectionery,Eastern Asia,2017-12-01,13137.8,9853.35
Snacks & Confectionery,Eastern Asia,2018-01-01,14416.39,10812.29
Snacks & Confectionery,West Asia,2015-01-01,9905.42,7429.06
Snacks & Confectionery,West Asia,2015-02-01,10013.12,7509.84
Snacks & Confectionery,West Asia,2015-03-01,9854.7,7391.03
Snacks & Confectionery,West Asia,2015-04-01,10483.79,7862.84
Snacks & Confectionery,West Asia,2015-05-01,10699.5,8024.63
Snacks & Confectionery,West Asia,2015-06-01,10361.28,7770.96
Snacks & Confectionery,West Asia,2015-07-01,9994.41,7495.81
Snacks & Confectionery,West Asia,2015-08-01,10241.24,7680.93
Snacks & Confectionery,West Asia,2015-09-01,10566.1,7924.58
Snacks & Confectionery,West Asia,2015-10-01,11005.52,8254.14
Snacks & Confectionery,West Asia,2015-11-01,11070.61,8302.96
Snacks & Confectionery,West Asia,2015-12-01,10128.66,7596.5
Snacks & Confectionery,West Asia,2016-01-01,10330.83,7748.12
Snacks & Confectionery,West Asia,2016-02-01,11410.89,8558.17
Snacks & Confectionery,West Asia,2016-03-01,11537.29,8652.97
Snacks & Confectionery,West Asia,2016-04-01,10920.9,8190.67
Snacks & Confectionery,West Asia,2016-05-01,11332.92,8499.69
Snacks & Confectionery,West Asia,2016-06-01,11457.72,8593.29
Snacks & Confectionery,West Asia,2016-07-01,11119.79,8339.84
Snacks & Confectionery,West Asia,2016-08-01,11466.19,8599.64
Snacks & Confectionery,West Asia,2016-09-01,10348.37,7761.28
Snacks & Confectionery,West Asia,2016-10-01,10674.6,8005.95
Snacks & Confectionery,West Asia,2016-11-01,10682.0,8011.5
Snacks & Confectionery,West Asia,2016-12-01,10475.77,7856.83
Snacks & Confectionery,West Asia,2017-01-01,12092.17,9069.12
Snacks & Confectionery,West Asia,2017-02-01,10874.83,8156.12
Snacks & Confectionery,West Asia,2017-03-01,11762.82,8822.12
Snacks & Confectionery,West Asia,2017-04-01,10931.39,8198.54
Snacks & Confectionery,West Asia,2017-05-01,11331.66,8498.75
Snacks & Confectionery,West Asia,2017-06-01,11410.93,8558.2
Snacks & Confectionery,West Asia,2017-07-01,11083.6,8312.7
Snacks & Confectionery,West Asia,2017-08-01,11553.25,8664.94
Snacks & Confectionery,West Asia,2017-09-01,11572.58,8679.43
Snacks & Confectionery,West Asia,2017-10-01,11271.18,8453.38
Snacks & Confectionery,West Asia,2017-11-01,11852.06,8889.04
Snacks & Confectionery,West Asia,2017-12-01,11054.28,8290.71
Snacks & Confectionery,West Asia,2018-01-01,11653.91,8740.43
Snacks & Confectionery,Western Europe,2015-01-01,46333.37,34750.03
Snacks & Confectionery,Western Europe,2015-02-01,46468.42,34851.31
Snacks & Confectionery,Western Europe,2015-03-01,45494.59,34120.94
Snacks & Confectionery,Western Europe,2015-04-01,49526.05,37144.54
Snacks & Confectionery,Western Europe,2015-05-01,49013.28,36759.96
Snacks & Confectionery,Western Europe,2015-06-01,44932.06,33699.04
Snacks & Confectionery,Western Europe,2015-07-01,46418.11,34813.58
Snacks & Confectionery,Western Europe,2015-08-01,45643.9,34232.93
Snacks & Confectionery,Western Europe,2015-09-01,46879.83,35159.87
Snacks & Confectionery,Western Europe,2015-10-01,45890.89,34418.16
Snacks & Confectionery,Western Europe,2015-11-01,47166.89,35375.17
Snacks & Confectionery,Western Europe,2015-12-01,49548.09,37161.07
Snacks & Confectionery,Western Europe,2016-01-01,48816.41,36612.31
Snacks & Confectionery,Western Europe,2016-02-01,50406.52,37804.89
Snacks & Confectionery,Western Europe,2016-03-01,50082.65,37561.99
Snacks & Confectionery,Western Europe,2016-04-01,51011.54,38258.65
Snacks & Confectionery,Western Europe,2016-05-01,46910.02,35182.52
Snacks & Confectionery,Western Europe,2016-06-01,50969.17,38226.88
Snacks & Confectionery,Western Europe,2016-07-01,52166.15,39124.61
Snacks & Confectionery,Western Europe,2016-08-01,50129.82,37597.36
Snacks & Confectionery,Western Europe,2016-09-01,48252.35,36189.26
Snacks & Confectionery,Western Europe,2016-10-01,50538.67,37904.0
Snacks & Confectionery,Western Europe,2016-11-01,50774.43,38080.83
Snacks & Confectionery,Western Europe,2016-12-01,50444.08,37833.06
Snacks & Confectionery,Western Europe,2017-01-01,49787.48,37340.61
Snacks & Confectionery,Western Europe,2017-02-01,54944.15,41208.11
Snacks & Confectionery,Western Europe,2017-03-01,54831.28,41123.46
Snacks & Confectionery,Western Europe,2017-04-01,51519.97,38639.98
Snacks & Confectionery,Western Europe,2017-05-01,52574.41,39430.81
Snacks & Confectionery,Western Europe,2017-06-01,49118.04,36838.53
Snacks & Confectionery,Western Europe,2017-07-01,55038.72,41279.04
Snacks & Confectionery,Western Europe,2017-08-01,53978.81,40484.11
Snacks & Confectionery,Western Europe,2017-09-01,52841.83,39631.38
Snacks & Confectionery,Western Europe,2017-10-01,53619.08,40214.31
Snacks & Confectionery,Western Europe,2017-11-01,50043.89,37532.92
Snacks & Confectionery,Western Europe,2017-12-01,50790.21,38092.66
Snacks & Confectionery,Western Europe,2018-01-01,52928.41,39696.31
Snacks & Confectionery,Central America,2015-01-01,49867.98,37400.98
Snacks & Confectionery,Central America,2015-02-01,46885.47,35164.1
Snacks & Confectionery,Central America,2015-03-01,51640.17,38730.13
Snacks & Confectionery,Central America,2015-04-01,49076.58,36807.43
Snacks & Confectionery,Central America,2015-05-01,48973.26,36729.95
Snacks & Confectionery,Central America,2015-06-01,46961.24,35220.93
Snacks & Confectionery,Central America,2015-07-01,50393.64,37795.23
Snacks & Confectionery,Central America,2015-08-01,51174.49,38380.87
Snacks & Confectionery,Central America,2015-09-01,50066.17,37549.62
Snacks & Confectionery,Central America,2015-10-01,47773.56,35830.17
Snacks & Confectionery,Central America,2015-11-01,50988.29,38241.22
Snacks & Confectionery,Central America,2015-12-01,47203.6,35402.7
Snacks & Confectionery,Central America,2016-01-01,53797.7,40348.28
Snacks & Confectionery,Central America,2016-02-01,52266.06,39199.55
Snacks & Confectionery,Central America,2016-03-01,50456.37,37842.28
Snacks & Confectionery,Central America,2016-04-01,51847.0,38885.25
Snacks & Confectionery,Central America,2016-05-01,52565.13,39423.85
Snacks & Confectionery,Central America,2016-06-01,50265.15,37698.86
Snacks & Confectionery,Central America,2016-07-01,53919.64,40439.73
Snacks & Confectionery,Central America,2016-08-01,51275.59,38456.69
Snacks & Confectionery,Central America,2016-09-01,54201.85,40651.39
Snacks & Confectionery,Central America,2016-10-01,53848.59,40386.44
Snacks & Confectionery,Central America,2016-11-01,49275.98,36956.98
Snacks & Confectionery,Central America,2016-12-01,52673.24,39504.93
Snacks & Confectionery,Central America,2017-01-01,53116.95,39837.72
Snacks & Confectionery,Central America,2017-02-01,56010.0,42007.5
Snacks & Confectionery,Central America,2017-03-01,54631.03,40973.28
Snacks & Confectionery,Central America,2017-04-01,54076.42,40557.32
Snacks & Confectionery,Central America,2017-05-01,56931.7,42698.77
Snacks & Confectionery,Central America,2017-06-01,51465.23,38598.92
Snacks & Confectionery,Central America,2017-07-01,54726.82,41045.12
Snacks & Confectionery,Central America,2017-08-01,53230.55,39922.91
Snacks & Confectionery,Central America,2017-09-01,51321.86,38491.4
Snacks & Confectionery,Central America,2017-10-01,56006.51,42004.89
Snacks & Confectionery,Central America,2017-11-01,54755.67,41066.75
Snacks & Confectionery,Central America,2017-12-01,56923.73,42692.8
Snacks & Confectionery,Central America,2018-01-01,57743.56,43307.67
Snacks & Confectionery,South America,2015-01-01,25471.68,19103.76
Snacks & Confectionery,South America,2015-02-01,27492.44,20619.33
Snacks & Confectionery,South America,2015-03-01,24781.7,18586.28
Snacks & Confectionery,South America,2015-04-01,24584.94,18438.71
Snacks & Confectionery,South America,2015-05-01,26704.95,20028.72
Snacks & Confectionery,South America,2015-06-01,25577.18,19182.89
Snacks & Confectionery,South America,2015-07-01,25547.85,19160.89
Snacks & Confectionery,South America,2015-08-01,27153.6,20365.2
Snacks & Confectionery,South America,2015-09-01,25441.32,19080.99
Snacks & Confectionery,South America,2015-10-01,27192.44,20394.33
Snacks & Confectionery,South America,2015-11-01,26428.63,19821.47
Snacks & Confectionery,South America,2015-12-01,25446.79,19085.09
Snacks & Confectionery,South America,2016-01-01,25836.88,19377.66
Snacks & Confectionery,South America,2016-02-01,26444.36,19833.27
Snacks & Confectionery,South America,2016-03-01,28812.05,21609.04
Snacks & Confectionery,South America,2016-04-01,26968.62,20226.47
Snacks & Confectionery,South America,2016-05-01,26165.86,19624.4
Snacks & Confectionery,South America,2016-06-01,26617.53,19963.15
Snacks & Confectionery,South America,2016-07-01,28586.72,21440.04
Snacks & Confectionery,South America,2016-08-01,26182.05,19636.53
Snacks & Confectionery,South America,2016-09-01,28188.29,21141.21
Snacks & Confectionery,South America,2016-10-01,26083.47,19562.61
Snacks & Confectionery,South America,2016-11-01,28789.07,21591.81
Snacks & Confectionery,South America,2016-12-01,27377.6,20533.2
Snacks & Confectionery,South America,2017-01-01,27072.48,20304.36
Snacks & Confectionery,South America,2017-02-01,30123.91,22592.93
Snacks & Confectionery,South America,2017-03-01,28155.37,21116.52
Snacks & Confectionery,South America,2017-04-01,29438.08,22078.56
Snacks & Confectionery,South America,2017-05-01,28724.15,21543.11
Snacks & Confectionery,South America,2017-06-01,27242.32,20431.74
Snacks & Confectionery,South America,2017-07-01,27288.64,20466.48
Snacks & Confectionery,South America,2017-08-01,27437.01,20577.75
Snacks & Confectionery,South America,2017-09-01,27478.17,20608.62
Snacks & Confectionery,South America,2017-10-01,27105.43,20329.07
Snacks & Confectionery,South America,2017-11-01,27085.69,20314.27
Snacks & Confectionery,South America,2017-12-01,30183.96,22637.97
Snacks & Confectionery,South America,2018-01-01,28599.78,21449.83
Snacks & Confectionery,Caribbean,2015-01-01,14483.83,10862.87
Snacks & Confectionery,Caribbean,2015-02-01,13807.15,10355.36
Snacks & Confectionery,Caribbean,2015-03-01,13974.11,10480.58
Snacks & Confectionery,Caribbean,2015-04-01,14926.11,11194.58
Snacks & Confectionery,Caribbean,2015-05-01,15230.07,11422.56
Snacks & Confectionery,Caribbean,2015-06-01,14416.74,10812.56
Snacks & Confectionery,Caribbean,2015-07-01,13610.97,10208.23
Snacks & Confectionery,Caribbean,2015-08-01,15336.12,11502.09
Snacks & Confectionery,Caribbean,2015-09-01,13684.12,10263.09
Snacks & Confectionery,Caribbean,2015-10-01,14277.38,10708.03
Snacks & Confectionery,Caribbean,2015-11-01,14537.15,10902.86
Snacks & Confectionery,Caribbean,2015-12-01,15149.51,11362.13
Snacks & Confectionery,Caribbean,2016-01-01,15781.88,11836.41
Snacks & Confectionery,Caribbean,2016-02-01,15392.23,11544.17
Snacks & Confectionery,Caribbean,2016-03-01,15007.94,11255.95
Snacks & Confectionery,Caribbean,2016-04-01,15802.6,11851.95
Snacks & Confectionery,Caribbean,2016-05-01,15865.64,11899.23
Snacks & Confectionery,Caribbean,2016-06-01,15870.83,11903.12
Snacks & Confectionery,Caribbean,2016-07-01,15589.58,11692.18
Snacks & Confectionery,Caribbean,2016-08-01,14459.51,10844.63
Snacks & Confectionery,Caribbean,2016-09-01,14825.58,11119.19
Snacks & Confectionery,Caribbean,2016-10-01,15167.13,11375.35
Snacks & Confectionery,Caribbean,2016-11-01,15202.01,11401.51
Snacks & Confectionery,Caribbean,2016-12-01,15799.67,11849.75
Snacks & Confectionery,Caribbean,2017-01-01,15450.58,11587.94
Snacks & Confectionery,Caribbean,2017-02-01,16267.51,12200.63
Snacks & Confectionery,Caribbean,2017-03-01,15711.62,11783.72
Snacks & Confectionery,Caribbean,2017-04-01,16479.79,12359.84
Snacks & Confectionery,Caribbean,2017-05-01,15370.06,11527.55
Snacks & Confectionery,Caribbean,2017-06-01,15907.7,11930.77
Snacks & Confectionery,Caribbean,2017-07-01,15193.53,11395.15
Snacks & Confectionery,Caribbean,2017-08-01,15401.1,11550.83
Snacks & Confectionery,Caribbean,2017-09-01,16785.49,12589.12
Snacks & Confectionery,Caribbean,2017-10-01,15600.3,11700.22
Snacks & Confectionery,Caribbean,2017-11-01,16704.71,12528.53
Snacks & Confectionery,Caribbean,2017-12-01,15998.96,11999.22
Snacks & Confectionery,Caribbean,2018-01-01,15823.51,11867.64
Snacks & Confectionery,Central Africa,2015-01-01,3019.74,2264.8
Snacks & Confectionery,Central Africa,2015-02-01,2760.33,2070.25
Snacks & Confectionery,Central Africa,2015-03-01,3031.63,2273.72
Snacks & Confectionery,Central Africa,2015-04-01,2745.23,2058.92
Snacks & Confectionery,Central Africa,2015-05-01,2978.13,2233.59
Snacks & Confectionery,Central Africa,2015-06-01,2800.16,2100.12
Snacks & Confectionery,Central Africa,2015-07-01,2862.17,2146.63
Snacks & Confectionery,Central Africa,2015-08-01,3075.67,2306.75
Snacks & Confectionery,Central Africa,2015-09-01,2912.36,2184.27
Snacks & Confectionery,Central Africa,2015-10-01,2972.28,2229.21
Snacks & Confectionery,Central Africa,2015-11-01,3001.45,2251.09
Snacks & Confectionery,Central Africa,2015-12-01,2780.63,2085.47
Snacks & Confectionery,Central Africa,2016-01-01,3187.56,2390.67
Snacks & Confectionery,Central Africa,2016-02-01,3215.18,2411.38
Snacks & Confectionery,Central Africa,2016-03-01,2936.38,2202.28
Snacks & Confectionery,Central Africa,2016-04-01,3080.03,2310.02
Snacks & Confectionery,Central Africa,2016-05-01,2983.46,2237.59
Snacks & Confectionery,Central Africa,2016-06-01,3151.49,2363.62
Snacks & Confectionery,Central Africa,2016-07-01,2889.64,2167.23
Snacks & Confectionery,Central Africa,2016-08-01,3067.65,2300.73
Snacks & Confectionery,Central Africa,2016-09-01,3170.66,2378.0
Snacks & Confectionery,Central Africa,2016-10-01,3149.32,2361.99
Snacks & Confectionery,Central Africa,2016-11-01,2919.02,2189.26
Snacks & Confectionery,Central Africa,2016-12-01,3185.41,2389.06
Snacks & Confectionery,Central Africa,2017-01-01,3115.01,2336.26
Snacks & Confectionery,Central Africa,2017-02-01,3334.97,2501.23
Snacks & Confectionery,Central Africa,2017-03-01,3215.08,2411.31
Snacks & Confectionery,Central Africa,2017-04-01,3085.28,2313.96
Snacks & Confectionery,Central Africa,2017-05-01,3306.51,2479.88
Snacks & Confectionery,Central Africa,2017-06-01,3335.02,2501.27
Snacks & Confectionery,Central Africa,2017-07-01,3292.95,2469.71
Snacks & Confectionery,Central Africa,2017-08-01,3395.59,2546.69
Snacks & Confectionery,Central Africa,2017-09-01,3122.07,2341.55
Snacks & Confectionery,Central Africa,2017-10-01,3114.21,2335.65
Snacks & Confectionery,Central Africa,2017-11-01,3080.04,2310.03
Snacks & Confectionery,Central Africa,2017-12-01,3231.39,2423.55
Snacks & Confectionery,Central Africa,2018-01-01,3336.25,2502.19
Snacks & Confectionery,Northern Europe,2015-01-01,16740.4,12555.3
Snacks & Confectionery,Northern Europe,2015-02-01,16952.25,12714.19
Snacks & Confectionery,Northern Europe,2015-03-01,16572.55,12429.41
Snacks & Confectionery,Northern Europe,2015-04-01,16020.09,12015.07
Snacks & Confectionery,Northern Europe,2015-05-01,16975.64,12731.73
Snacks & Confectionery,Northern Europe,2015-06-01,16575.29,12431.47
Snacks & Confectionery,Northern Europe,2015-07-01,16930.74,12698.06
Snacks & Confectionery,Northern Europe,2015-08-01,17910.01,13432.51
Snacks & Confectionery,Northern Europe,2015-09-01,16377.27,12282.95
Snacks & Confectionery,Northern Europe,2015-10-01,17314.4,12985.8
Snacks & Confectionery,Northern Europe,2015-11-01,17328.57,12996.43
Snacks & Confectionery,Northern Europe,2015-12-01,16586.35,12439.76
Snacks & Confectionery,Northern Europe,2016-01-01,17822.57,13366.93
Snacks & Confectionery,Northern Europe,2016-02-01,18892.94,14169.7
Snacks & Confectionery,Northern Europe,2016-03-01,17546.94,13160.21
Snacks & Confectionery,Northern Europe,2016-04-01,18340.79,13755.59
Snacks & Confectionery,Northern Europe,2016-05-01,18615.23,13961.43
Snacks & Confectionery,Northern Europe,2016-06-01,17586.07,13189.55
Snacks & Confectionery,Northern Europe,2016-07-01,18936.51,14202.38
Snacks & Confectionery,Northern Europe,2016-08-01,18155.2,13616.4
Snacks & Confectionery,Northern Europe,2016-09-01,17887.17,13415.38
Snacks & Confectionery,Northern Europe,2016-10-01,18346.29,13759.72
Snacks & Confectionery,Northern Europe,2016-11-01,17721.58,13291.18
Snacks & Confectionery,Northern Europe,2016-12-01,18340.75,13755.56
Snacks & Confectionery,Northern Europe,2017-01-01,18271.82,13703.87
Snacks & Confectionery,Northern Europe,2017-02-01,19742.03,14806.52
Snacks & Confectionery,Northern Europe,2017-03-01,18873.87,14155.4
Snacks & Confectionery,Northern Europe,2017-04-01,18197.11,13647.83
Snacks & Confectionery,Northern Europe,2017-05-01,18637.78,13978.33
Snacks & Confectionery,Northern Europe,2017-06-01,19669.66,14752.25
Snacks & Confectionery,Northern Europe,2017-07-01,19471.26,14603.45
Snacks & Confectionery,Northern Europe,2017-08-01,18744.31,14058.23
Snacks & Confectionery,Northern Europe,2017-09-01,18445.11,13833.84
Snacks & Confectionery,Northern Europe,2017-10-01,18500.43,13875.32
Snacks & Confectionery,Northern Europe,2017-11-01,19863.69,14897.77
Snacks & Confectionery,Northern Europe,2017-12-01,17905.42,13429.07
Snacks & Confectionery,Northern Europe,2018-01-01,20638.78,15479.08
Snacks & Confectionery,North Africa,2015-01-01,5863.39,4397.54
Snacks & Confectionery,North Africa,2015-02-01,5436.19,4077.14
Snacks & Confectionery,North Africa,2015-03-01,5520.5,4140.37
Snacks & Confectionery,North Africa,2015-04-01,5669.06,4251.79
Snacks & Confectionery,North Africa,2015-05-01,5826.14,4369.61
Snacks & Confectionery,North Africa,2015-06-01,5926.03,4444.52
